A	B	score	A_gene	B_gene	AinRAP	BinRAP
9606.ENSP00000253686	9606.ENSP00000351108	965	MRPS25	HNRNPAB	TRUE	FALSE
9606.ENSP00000348849	9606.ENSP00000360034	965	RPS26	SERBP1	FALSE	TRUE
9606.ENSP00000317123	9606.ENSP00000361626	965	SNRNP200	YBX1	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000362688	965	RPL18A	EIF3I	FALSE	TRUE
9606.ENSP00000288937	9606.ENSP00000346001	964	MRPL17	RPL3	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000361076	964	RPS11	RPL7A	FALSE	TRUE
9606.ENSP00000352834	9606.ENSP00000367220	964	MYO1C	ACTR2	TRUE	FALSE
9606.ENSP00000311028	9606.ENSP00000360034	963	RPS14	SERBP1	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000364320	963	RPS11	MRTO4	FALSE	TRUE
9606.ENSP00000348849	9606.ENSP00000368927	963	RPS26	EIF1AX	FALSE	TRUE
9606.ENSP00000362413	9606.ENSP00000405573	962	PGK1	GPI	TRUE	FALSE
9606.ENSP00000262803	9606.ENSP00000433821	962	UPF1	RPS3	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000293831	961	RPL18A	EIF4A1	FALSE	TRUE
9606.ENSP00000224784	9606.ENSP00000345230	961	ACTA2	TPM4	FALSE	TRUE
9606.ENSP00000341826	9606.ENSP00000359645	961	HNRNPA1	RBMX	FALSE	TRUE
9606.ENSP00000259818	9606.ENSP00000349960	960	TUBB2B	ACTB	TRUE	FALSE
9606.ENSP00000346027	9606.ENSP00000393241	960	RPL21	RPS18	FALSE	TRUE
9606.ENSP00000339933	9606.ENSP00000405573	960	PKLR	GPI	TRUE	FALSE
9606.ENSP00000404375	9606.ENSP00000426909	960	RPL36A	RACK1	FALSE	TRUE
9606.ENSP00000289371	9606.ENSP00000311028	959	EIF5B	RPS14	TRUE	FALSE
9606.ENSP00000262269	9606.ENSP00000349960	959	MYH14	ACTB	TRUE	FALSE
9606.ENSP00000349168	9606.ENSP00000358635	959	HNRNPH1	SYNCRIP	TRUE	FALSE
9606.ENSP00000254193	9606.ENSP00000361626	959	SNRPA1	YBX1	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000362688	959	RPS11	EIF3I	FALSE	TRUE
9606.ENSP00000262056	9606.ENSP00000368927	959	EIF4B	EIF1AX	FALSE	TRUE
9606.ENSP00000346001	9606.ENSP00000419038	959	RPL3	GFM1	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000306548	958	RPS11	MRPL13	FALSE	TRUE
9606.ENSP00000317123	9606.ENSP00000341826	958	SNRNP200	HNRNPA1	TRUE	FALSE
9606.ENSP00000354722	9606.ENSP00000393241	958	EIF1AY	RPS18	FALSE	TRUE
9606.ENSP00000270625	9606.ENSP00000323856	957	RPS11	PLEC	FALSE	TRUE
9606.ENSP00000262803	9606.ENSP00000338020	957	UPF1	EIF4G1	FALSE	TRUE
9606.ENSP00000346694	9606.ENSP00000352438	957	HNRNPA2B1	PCBP2	TRUE	FALSE
9606.ENSP00000354251	9606.ENSP00000367220	957	NCKAP1	ACTR2	TRUE	FALSE
9606.ENSP00000361626	9606.ENSP00000380336	957	YBX1	SMU1	FALSE	TRUE
9606.ENSP00000262056	9606.ENSP00000289371	956	EIF4B	EIF5B	FALSE	TRUE
9606.ENSP00000306548	9606.ENSP00000311028	956	MRPL13	RPS14	TRUE	FALSE
9606.ENSP00000248342	9606.ENSP00000348849	956	EIF3K	RPS26	TRUE	FALSE
9606.ENSP00000317376	9606.ENSP00000348849	956	MRPS11	RPS26	TRUE	FALSE
9606.ENSP00000229239	9606.ENSP00000349960	956	GAPDH	ACTB	TRUE	FALSE
9606.ENSP00000330054	9606.ENSP00000375730	956	EEF1A1	RPL13A	FALSE	TRUE
9606.ENSP00000349960	9606.ENSP00000396211	956	ACTB	WASF2	FALSE	TRUE
9606.ENSP00000311028	9606.ENSP00000419038	956	RPS14	GFM1	FALSE	TRUE
9606.ENSP00000316338	9606.ENSP00000349960	955	BAIAP2	ACTB	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000253108	954	RPL18A	EIF3G	FALSE	TRUE
9606.ENSP00000232978	9606.ENSP00000305958	954	NKTR	STIP1	TRUE	FALSE
9606.ENSP00000313007	9606.ENSP00000341826	954	PABPC1	HNRNPA1	TRUE	FALSE
9606.ENSP00000293831	9606.ENSP00000346001	954	EIF4A1	RPL3	TRUE	FALSE
9606.ENSP00000261313	9606.ENSP00000359424	954	PEBP1	CHUK	FALSE	TRUE
9606.ENSP00000311430	9606.ENSP00000429931	954	RPL4	EIF3H	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000435096	954	RPL3	RPS25	FALSE	TRUE
9606.ENSP00000260970	9606.ENSP00000305958	953	PPIG	STIP1	TRUE	FALSE
9606.ENSP00000349428	9606.ENSP00000351108	953	PTBP1	HNRNPAB	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000368927	953	RPL3	EIF1AX	FALSE	TRUE
9606.ENSP00000311449	9606.ENSP00000378356	953	RAB6A	KIF20A	FALSE	TRUE
9606.ENSP00000345156	9606.ENSP00000429931	953	RPL14	EIF3H	TRUE	FALSE
9606.ENSP00000222247	9606.ENSP00000306548	952	RPL18A	MRPL13	FALSE	TRUE
9606.ENSP00000310040	9606.ENSP00000346001	952	EIF3F	RPL3	TRUE	FALSE
9606.ENSP00000361626	9606.ENSP00000368438	952	YBX1	PCNA	FALSE	TRUE
9606.ENSP00000313007	9606.ENSP00000382840	952	PABPC1	DDX3X	TRUE	FALSE
9606.ENSP00000346643	9606.ENSP00000405573	952	HKDC1	GPI	TRUE	FALSE
9606.ENSP00000429374	9606.ENSP00000429931	952	RPS20	EIF3H	TRUE	FALSE
9606.ENSP00000241600	9606.ENSP00000270625	951	MRPS2	RPS11	TRUE	FALSE
9606.ENSP00000224784	9606.ENSP00000347890	951	ACTA2	DNM2	FALSE	TRUE
9606.ENSP00000348634	9606.ENSP00000349960	951	MYH6	ACTB	TRUE	FALSE
9606.ENSP00000346001	9606.ENSP00000364119	951	RPL3	EIF2S2	FALSE	TRUE
9606.ENSP00000352438	9606.ENSP00000376309	951	PCBP2	HNRNPA3	FALSE	TRUE
9606.ENSP00000367220	9606.ENSP00000432472	951	ACTR2	BRK1	FALSE	TRUE
9606.ENSP00000222247	9606.ENSP00000248342	950	RPL18A	EIF3K	FALSE	TRUE
9606.ENSP00000309629	9606.ENSP00000325875	950	CFL1	HSP90AB1	FALSE	TRUE
9606.ENSP00000323856	9606.ENSP00000348849	950	PLEC	RPS26	TRUE	FALSE
9606.ENSP00000252725	9606.ENSP00000349960	950	ARPC1B	ACTB	TRUE	FALSE
9606.ENSP00000331602	9606.ENSP00000349960	950	PRKCD	ACTB	TRUE	FALSE
9606.ENSP00000349960	9606.ENSP00000354251	950	ACTB	NCKAP1	FALSE	TRUE
9606.ENSP00000311028	9606.ENSP00000364320	950	RPS14	MRTO4	FALSE	TRUE
9606.ENSP00000382840	9606.ENSP00000401980	950	DDX3X	MAVS	FALSE	TRUE
9606.ENSP00000429931	9606.ENSP00000433821	950	EIF3H	RPS3	FALSE	TRUE
9606.ENSP00000221419	9606.ENSP00000258962	949	HNRNPL	SRSF1	FALSE	TRUE
9606.ENSP00000300146	9606.ENSP00000310448	949	PATL1	SART1	FALSE	TRUE
9606.ENSP00000253039	9606.ENSP00000346001	949	EIF2S3	RPL3	TRUE	FALSE
9606.ENSP00000310040	9606.ENSP00000348849	949	EIF3F	RPS26	TRUE	FALSE
9606.ENSP00000270625	9606.ENSP00000354125	949	RPS11	EIF3B	FALSE	TRUE
9606.ENSP00000310040	9606.ENSP00000401450	949	EIF3F	RPL28	TRUE	FALSE
9606.ENSP00000429931	9606.ENSP00000447001	949	EIF3H	RPL18	FALSE	TRUE
